,ï»¿ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,ArticleTitle
1002,,is the word cymbal derived from a germanic word,no,easy,easy,S09_set2_a6,Cymbal
1003,,do populations also extend for considerable distances inland in regions with enough moisture to support suitable woodlands,populations also extend for considerable distances inland in regions with enough moisture to support suitable woodlands,,easy,S10_set1_a3,Koala
1004,,do other landmarks include the istiqlal mosque as well as jakarta cathedral,yes,,easy,S10_set3_a5,Jakarta
1005,otter,what is the primary item in an otters diet,fish,medium,medium,S08_set1_a7,
1006,duck,what are some economic uses for duck,meateggsfeathers,medium,medium,S08_set1_a10,
1007,Singapore,what does singa mean,lion,medium,medium,S08_set2_a2,
1008,,give an example of the highest growth rates of any city in africa,the growth rate of nairobi is currently 69  an example of the highest growth rates of any city in africa,,hard,S10_set3_a9,Nairobi
1009,,is there a chinese community in jakarta,yes,easy,easy,S10_set3_a5,Jakarta
1010,Theodore_Roosevelt,where was theodore roosevelt from,new york city,medium,medium,S08_set3_a7,
1011,John_Adams,did john adams go to harvard,yes,easy,medium,S08_set3_a1,
1012,,what was anders celsiuss profession,professor of astronomy,,medium,S09_set4_a5,Anders_Celsius
1013,polar_bear,garbage is what,garbage is now recycled or transported to thompson manitoba,,medium,S08_set1_a4,
1014,,however  are nonhuman plural nouns grammatically considered to be feminine singular,yes,,easy,S09_set5_a3,Arabic_language
1015,otter,what do river otters eat,a variety of fish and shellfish as well as small land mammals and birds,medium,easy,S08_set1_a7,
1016,,what transnational bridge was completed in 2000,oresund bridge,easy,hard,S09_set3_a8,Copenhagen
1017,,in what year did henri becquerel win the nobel prize in physics,1903,medium,medium,S09_set4_a9,Henri_Becquerel
1018,Amedeo_Avogadro,was lorenzo romano amedeo carlo avogadro an italian savant,yes,,easy,S08_set4_a8,
1019,polar_bear,does a polar bear live in the arctic,yes,easy,easy,S08_set1_a4,
1020,,is the trumpeter swan the largest bird,it is the largest bird of north america,easy,easy,S09_set1_a10,Swan
1021,turtle,how often do turtles breed,every few years or more,medium,medium,S08_set1_a9,
1022,,how many years ago was it when faraday wrote a letter to the times on the subject of the foul condition of the river thames  which resulted in an oftreprinted cartoon in punch,154,,hard,S09_set4_a7,Michael_Faraday
1023,,who s10_sets up shrines,many homes and businesses would s10_set up shrines,hard,hard,S10_set3_a6,Taipei
1024,,did he share the nobel prize in physics,yes,,easy,S09_set4_a9,Henri_Becquerel
1025,Abraham_Lincoln,what did the legal tender act of 1862 establish,the united states note the first paper currency in united states history,medium,medium,S08_set3_a4,
1026,,the district is bordered to the southwest by uhuru park and where,central park,,medium,S10_set3_a9,Nairobi
1027,,what is the swahili word for the swahili language,kiswahili,medium,hard,S10_set5_a4,Swahili_language
1028,Abraham_Lincoln,did his mother die of pneumonia,no,easy,medium,S08_set3_a4,
1029,,hassan massoudy is a master of what genre,arabic calligraphy,hard,hard,S10_set5_a3,Arabic_language
1030,Henri_Becquerel,what happened with a bromide emulsion in two sheets of very thick black paper,the plate does not become clouded upon being exposed to the sun for a day,,hard,S08_set4_a9,
1031,beetle,what was given by aristotle for the hardened shield like forewings,the name coleoptera,,easy,S08_set1_a8,
1032,Ulysses_S._Grant,what happened in 1865,he accepted the surrender of robert e lee,,medium,S08_set3_a5,
1033,,where was much of montreals industry during the late 19th and earlytomid 20th century,the sudouest borough was home to much of the citys industry during the late 19th and earlytomid 20th century,hard,hard,S10_set3_a7,Montreal
1034,Anders_Celsius,was anders celsius november 27 1701 april 25 1744 a swedish astronomer,yes,,easy,S08_set4_a5,
1035,,who was blaise pascals father,his father ãtienne pascal 1588â1651 who also had an interest in science and mathematics was a local judge,easy,medium,S10_set4_a4,Blaise_Pascal
1036,turtle,are the largest turtles aquatic,yes,,easy,S08_set1_a9,
1037,Abraham_Lincoln,did lincoln beat john c breckinridge in the 1860 election,yes,hard,medium,S08_set3_a4,
1038,,is malay the official language of iraq,no,easy,hard,S10_set5_a2,Malay_language
1039,polar_bear,what is largest polar bear on record,a huge male allegedly weighing 1002 kg 2200 lb shot at kotzebue sound in northwestern alaska in 1960,medium,medium,S08_set1_a4,
1040,,was volta buried where he died or was he buried someplace else,yes,hard,hard,S10_set4_a10,Alessandro_Volta
1041,,was taipei founded in the 18th century,yes,easy,easy,S10_set3_a6,Taipei
1042,Abraham_Lincoln,when did lincoln begin his political career,1832,medium,medium,S08_set3_a4,
1043,,was faraday a devout christian,yes,easy,easy,S09_set4_a7,Michael_Faraday
1044,Theodore_Roosevelt,when did roosevelt die,on january 6 1919 roosevelt died in his sleep,medium,medium,S08_set3_a7,
1045,Abraham_Lincoln,who was the general in charge at the battle of antietam,john alexander mcclernand,hard,medium,S08_set3_a4,
1046,Egypt,is egypt in asia,no,easy,easy,S08_set2_a6,
1047,,when did he die,1908,medium,hard,S10_set4_a9,Henri_Becquerel
1048,,who manages candlestick point,california state park system,medium,medium,S10_set3_a8,San_Francisco
1049,Romania,what is the largest ethnic minority in romania,hungarians,medium,medium,S08_set2_a7,
1050,Indonesia,are the javanese the largest and politically dominant ethnic group in indonesia,yes,easy,too easy,S08_set2_a10,
1051,Finland,today are there more cell phone subscriptions than people in finland,yes,hard,hard,S08_set2_a4,
1052,,are ants found in antartica,no there are no ants in antarctica,easy,easy,S10_set1_a1,Ant
1053,,is vietnam independent from france,yes,hard,easy,S10_set5_a10,Vietnamese_language
1054,,what is nassau coliseum,an arena in uniondale new york usa,medium,medium,S09_set3_a2,Nassau
1055,penguin,what makes penguins so agile in the water,smooth plumage preserves a layer of air ensuring buoyancy wings are flippers,hard,hard,S08_set1_a3,
1056,Gray_Wolf,when do wolves molt,late spring or early summer,medium,medium,S08_set1_a6,
1057,otter,what is an otters den called,holt,medium,medium,S08_set1_a7,
1058,,did alessandro volta live to be 80 years old,no,,easy,S09_set4_a10,Alessandro_Volta
1059,,what do leptocephali eat,leptocephali eat small particles called marine snow,hard,hard,S10_set1_a8,Eel
1060,,is montreals economy the third largest of all cities in canada,no montreals economy is the second largest of all cities in canada,easy,medium,S10_set3_a7,Montreal
1061,Singapore,why are relations with malaysia and indonesia important,due to obvious geographical reasons relations with malaysia and indonesia are most important,medium,medium,S08_set2_a2,
1062,,did he experiment with individual cells,yes,,easy,S09_set4_a10,Alessandro_Volta
1063,,does exposure to air cause the larva to begin breathing,yes capitalization,,easy,S10_set1_a7,Dragonfly
1064,,what has the most effect on how a drum sounds,the drumhead,medium,medium,S10_set2_a4,Drum
1065,James_Monroe,who did james monroe live with in new york city,his daughter maria hester monroe gouverneur,hard,medium,S08_set3_a2,
1066,Woodrow_Wilson,did woodrow wilson create the league of nations,yes,easy,easy,S08_set3_a8,
1067,Gray_Wolf,where is the largest gray wolf population thought to be found,kazakhstan,medium,hard,S08_set1_a6,
1068,,do many such drums have six to ten tension rods,yes,,easy,S10_set2_a4,Drum
1069,,what are some annual festivals in taipei,the lantern festival tombsweeping day dragon boat festival and the midautumn festival,medium,medium,S10_set3_a6,Taipei
1070,kangaroo,is a kangaroo on the australian coat of arms,yes,easy,easy,S08_set1_a1,
1071,otter,what do river otters eat,river otters eat a variety of fish and shellfish as well as small land mammals and birds,medium,easy,S08_set1_a7,
1072,,where is melbourne situated,boundary of the very hot inland areas and the cold southern ocean,hard,too hard,S10_set3_a2,Melbourne
1073,Egypt,what is the estimated population of egypt,more than 78 million,hard,hard,S08_set2_a6,
1074,,is turtle soup considered a delicacy,yes,hard,hard,S09_set1_a4,Turtle
1075,,what are the three cat species that are native to canada,the three cat species that are native to canada are the cougar the bobcat and the canadian lynx,hard,medium,S10_set1_a2,Cougar
1076,,did johann josef loschmidt first calculate the value of avogadros number,yes,easy,easy,S10_set4_a8,Amedeo_Avogadro
1077,,are drums often used in music therapy,yes,easy,too easy,S10_set2_a4,Drum
1078,,who is the mayor of montreal,the mayor is gãrald tremblay,medium,medium,S10_set3_a7,Montreal
1079,penguin,what is the largest living species of penguin,emperor penguin,easy,medium,S08_set1_a3,
1080,duck,are ducks an accepted presence in some populated areas,yes,easy,easy,S08_set1_a10,
1081,James_Monroe,had monroe racked up many debts during his years of public life,yes,,easy,S08_set3_a2,
1082,,do most japanese people employ politeness,yes,,easy,S09_set5_a6,Japanese_language
1083,,is finnish an official language of the european union,yes,easy,easy,S10_set5_a5,Finnish_language
1084,Indonesia,in what year did east timor secede from indonesia,1999,medium,medium,S08_set2_a10,
1085,leopard,is the leopard lrb panthera pardus rrb an old world mammal of the felidae family and the smallest of the four   big cats   of the genus panthera  along with the tiger  lion  and jaguar,yes,,easy,S08_set1_a2,
1086,,are harvesting wild turtles legal anywhere,yes,easy,easy,S09_set1_a9,Turtle
1087,Calvin_Coolidge,which state were coolidge born in,vermont,medium,medium,S08_set3_a9,
1088,,can you meet someone through attending a church,yes,hard,easy,S09_set4_a7,Michael_Faraday
1089,polar_bear,how long is polar bears guard hair,515 cm,medium,medium,S08_set1_a4,
1090,turtle,name four related articles for the article on turtles,triassic ernst haeckel kunstformen der natur animal,medium,medium,S08_set1_a9,
1091,,do octopuses have two eyes and four pairs of arms,yes octopuses have two eyes and four pairs of arms,,easy,S10_set1_a10,Octopus
1092,,how many groups are turtles broken down into,two,medium,medium,S09_set1_a4,Turtle
1093,Theodore_Roosevelt,what was the nickname of theodore roosevelts sister anna,bamie as a child and bye as an adult,hard,medium,S08_set3_a7,
1094,Woodrow_Wilson,who was president when wilson finished congressional government,grover cleveland,medium,hard,S08_set3_a8,
1095,kangaroo,have larger kangaroos adapted much better to changes,yes,,easy,S08_set1_a1,
1096,leopard,is the leopard one of the four big cats,yes,easy,easy,S08_set1_a2,
1097,otter,do sea otters have long muscular tails,no,easy,medium,S08_set1_a7,
1098,,who did alessandro volta marry,teresa peregrini,medium,medium,S10_set4_a10,Alessandro_Volta
1099,,is a guitar played with a plectrum like a lyre,yes,hard,easy,S09_set2_a10,Lyre
1100,,did pascal also write in defense of the scientific method,yes,,easy,S10_set4_a4,Blaise_Pascal
1101,Uruguay,what was founded by the spanish in the early 18th century as a military stronghold,montevideo,,medium,S08_set2_a9,
1102,,are there also discussions of having oc transpo light rail and sto transitway networks linking on the gatineau side of the ottawa river,yes,,easy,S09_set3_a5,Ottawa
1103,,who first calculated the value of avogadros number,johann josef loschmidt,medium,medium,S10_set4_a8,Amedeo_Avogadro
1104,,what languages has malay borrowed words from,arabic sanskrit tamil persian portuguese dutch certain chinese dialects and english,medium,hard,S10_set5_a2,Malay_language
1105,,do drums consist of at least one membrane called a drumhead or drum skin that is stretched over a shell and struck either directly with parts of a players body or with some sort of implement such as a drumstick to produce sound,yes,,easy,S10_set2_a4,Drum
1106,John_Adams,did john adams support the stamp act of 1765,no,easy,hard,S08_set3_a1,
1107,,what is avogadros number,602214199x10 23,hard,hard,S09_set4_a8,Amedeo_Avogadro
1108,,how many total keys does a typical modern piano have,88 keys,medium,medium,S10_set2_a1,Piano
1109,,which came first the xylophone or the vibraphone,xylophone,hard,hard,S10_set2_a8,Xylophone
1110,,where was the oldest flute ever discovered found,germany,medium,too hard,S10_set2_a5,Flute
1111,Singapore,what is the most densely populated independent country in the world,monaco,medium,hard,S08_set2_a2,
1112,,if charlesaugustin de coulomb was alive today how old would he have been,273,,hard,S09_set4_a6,Charles-Augustin_de_Coulomb
1113,,which two sports events did the olympiastadion host,the 1936 summer olympics and the 2006 fifa world cup final,medium,medium,S10_set3_a1,Berlin
1114,Canada,is an official language of canada german,no it is not,easy,easy,S08_set2_a8,
1115,Liechtenstein,what roman province was liechtenstein part of,raetia,hard,medium,S08_set2_a1,
1116,Finland,who is the most popular rock group in finland,cmx,medium,medium,S08_set2_a4,
1117,Gray_Wolf,where do wolves have scent glands,between a wolfs toes,medium,medium,S08_set1_a6,
1118,,how long do most foxes live,most foxes live 2 to 3 years but they can survive for up to 10 years or even longer in captivity,medium,medium,S09_set1_a6,Fox
1119,Finland,what is a country with which finland is involved in an international conflict,none,hard,hard,S08_set2_a4,
1120,Singapore,did the media contribute 156 to singapores gdp in 2001,no,easy,easy,S08_set2_a2,
1121,Theodore_Roosevelt,where was theodore roosevelt born,a fourstory brownstone at 28 east 20th street in the modernday gramercy section of new york city,medium,easy,S08_set3_a7,
1122,penguin,are penguins afraid of humans,no,medium,medium,S08_set1_a3,
1123,,is the electric eel a true eel,no,easy,easy,S10_set1_a8,Eel
1124,,is the purfling just for decoration,no,easy,easy,S09_set2_a9,Cello
1125,,what is the standardized form of spoken chinese,the standardized from of spoken chinese is standard mandarin,easy,easy,S10_set5_a7,Chinese_language
1126,otter,what do river otters eat,a variety of fish and shellfish as well as small land mammals and birds,medium,medium,S08_set1_a7,
1127,,what is the definition of the electrostatic force of attraction and repulsion,coulombs law is the definition of the electrostatic force of attraction and repulsion,hard,medium,S09_set4_a6,Charles-Augustin_de_Coulomb
1128,Egypt,is egypt the most populated country in africa,no,easy,medium,S08_set2_a6,
1129,John_Adams,are his last words often quoted as  thomas jefferson survives,yes,,easy,S08_set3_a1,
1130,,what is ottawas major league hockey team,the ottawa senators,hard,medium,S09_set3_a5,Ottawa
1131,,what is the most basic form of the flute,open tube which is blown like a bottle,hard,hard,S10_set2_a5,Flute
1132,duck,what is the name of a specialized species of duck adapted to catch large fish,the smew,medium,medium,S08_set1_a10,
1133,Canada,is it the world s second largest country by total area,yes,,easy,S08_set2_a8,
1134,beetle,how many species of beetles are there,about 350000,medium,medium,S08_set1_a8,
1135,polar_bear,how heavy was the largest polar bear on record,he allegedly weighed 1002 kg,medium,medium,S08_set1_a4,
1136,otter,where does the word otter derive from,the word otter derives from the old english word otr otor or oter,medium,easy,S08_set1_a7,
1137,,in what year did germany seize tanganyika,germany seized tanganyika in 1886,hard,medium,S10_set5_a4,Swahili_language
1138,,did james watt improve an engine,yes his improvements to the newcomen steam engine were fundamental to the changes brought by the industrial revolution,easy,easy,S10_set4_a2,James_Watt
1139,,what is located at the end of the guitar neck furthest from the body,headstock,medium,medium,S10_set2_a7,Guitar
1140,,give an example of the official languages of the special administrative region of macau and east timor,portuguese,,medium,S10_set5_a1,Portuguese_language
1141,Calvin_Coolidge,was coolidge opposed in the republican nomination for governor of massachus08_setts in 1918,no,easy,hard,S08_set3_a9,
1142,Uruguay,why was the capital of uruguay founded,uruguays capital montevideo was founded by the spanish in the early 18th century as a military stronghold,hard,medium,S08_set2_a9,
1143,duck,what are some economic uses for duck,being farmed for their meat eggs feathers particularly their down,medium,medium,S08_set1_a10,
1144,,how is south china linguistically different from north china,south china displays more linguistic diversity,hard,hard,S10_set5_a7,Chinese_language
1145,Theodore_Roosevelt,did theodore roosevelt go to harvard,yes,easy,medium,S08_set3_a7,
1146,,was charlesaugustin de coulomb a spanish biologist,no,easy,easy,S10_set4_a6,Charles-Augustin_de_Coulomb
1147,,what was amedeo avogadros profession,professor of physics,,hard,S09_set4_a8,Amedeo_Avogadro
1148,,did the economy improve in jakarta in 2007,yes,hard,easy,S10_set3_a5,Jakarta
1149,John_Adams,with what party did adams run for presidency,the federalist party,medium,medium,S08_set3_a1,
1150,,is finnish an official language of the european union,yes finnish is an official language of the european union,easy,easy,S10_set5_a5,Finnish_language
1151,,who wrote about ants in a tramp abroad,mark twain wrote about ants,medium,medium,S10_set1_a1,Ant
1152,,what is the origin of the name santiago,sanit  iago james,medium,hard,S09_set3_a6,Santiago
1153,,did faraday lecture on education in 1854,yes,hard,easy,S09_set4_a7,Michael_Faraday
1154,Singapore,is singapore a citystate,yes,easy,easy,S08_set2_a2,
1155,duck,what are the reasons for hunting wild ducks,meat eggs and feathers,hard,too hard,S08_set1_a10,
1156,Indonesia,is it the world s fourth most populous country and the most populous muslimmajority nation,yes,,easy,S08_set2_a10,
1157,,what is the sanskrit word for swan,hamsa or hansa,medium,medium,S09_set1_a10,Swan
1158,John_Adams,when did john adams serve as vice president,17891797,medium,easy,S08_set3_a1,
1159,Gray_Wolf,are wolves built for stamina,yes,easy,easy,S08_set1_a6,
1160,,are violinists and fiddlers the same thing,yes,easy,easy,S09_set2_a2,Violin
1161,,where is michael faraday buried,michael faraday is buried in the dissenters section of highgate cemetery,hard,hard,S10_set4_a7,Michael_Faraday
1162,Abraham_Lincoln,did lincoln sign the national banking act of 1863,yes,easy,medium,S08_set3_a4,
1163,,does vietnamese have a large number of vowels,yes vietnamese has a comparatively large number of vowels,easy,easy,S10_set5_a10,Vietnamese_language
1164,leopard,where is the leopard distributed,southern eurasia and africa,medium,medium,S08_set1_a2,
1165,,what are most electric guitar bodies made of,wood,medium,medium,S10_set2_a7,Guitar
1166,,in 1908 the year  of his death was becquerel elected permanent secretary  of the acadãmie  des  sciences,yes,,easy,S09_set4_a9,Henri_Becquerel
1167,Millard_Fillmore,where was commodore matthew c perry sent to open japan to western trade,commodore matthew c perry send to japan,medium,hard,S08_set3_a3,
1168,Singapore,has urbanization eliminated many areas of former primary rainforest  with the only remaining area of primary rainforest being bukit timah nature reserve,yes,,easy,S08_set2_a2,
1169,,does swahili have dipthongs,yes swahili has diphthongs typo,easy,easy,S10_set5_a4,Swahili_language
1170,,is melbourne the capital and most populous city in the state of victoria,yes,easy,easy,S10_set3_a2,Melbourne
1171,Abraham_Lincoln,who assassinated lincoln,john wilkes booth,medium,hard,S08_set3_a4,
1172,beetle,what are the three sections of a beetle,the head the thorax and the abdomen,medium,medium,S08_set1_a8,
1173,,what is the second main orchestral use of cymbals,the suspended cymbal,medium,easy,S09_set2_a6,Cymbal
1174,,what are the names of the two zoos in berlin,zoologischer garten berlin and tierpark friedrichsfelde,hard,hard,S10_set3_a1,Berlin
1175,,approximately how many species of testudines are alive today,300,medium,medium,S09_set1_a9,Turtle
1176,,whats the main highway in ottawa,highway 417 the queensway,medium,medium,S09_set3_a5,Ottawa
1177,duck,what are some common predators of ducks,pike crocodilians and other aquatic hunters,hard,hard,S08_set1_a10,
1178,James_Monroe,who dismantled partisan and sectional coalitions,many congressmen,,medium,S08_set3_a2,
1179,,loschmidt calculated first the value of what,avogadros number,,medium,S09_set4_a8,Amedeo_Avogadro
1180,Millard_Fillmore,was another primary objective of fillmore to preserve the union from the intensifying slavery debate,yes,,easy,S08_set3_a3,
1181,,are upright pianos called vertical pianos,yes,easy,easy,S10_set2_a1,Piano
1182,,did charlesaugustin de coulomb live to be 80 years old,no,,hard,S09_set4_a6,Charles-Augustin_de_Coulomb
1183,Ulysses_S._Grant,who took a hard line that reduced violence by groups like the ku klux klan,grant,,too easy,S08_set3_a5,
1184,,where was much of montreals industry during the late 19th and earlytomid 20th century,the sudouest borough was home to much of the citys industry during the late 19th and earlytomid 20th century,hard,easy,S10_set3_a7,Montreal
1185,,what had the anglosaxons created by the 600s,a new s09_settlement called lundenwic,medium,easy,S09_set3_a1,London
1186,,did amedeo avogadro graduate,yes,easy,easy,S09_set4_a8,Amedeo_Avogadro
1187,Singapore,who boasted a sizeable community of 100000 by 1869,british india office,,hard,S08_set2_a2,
1188,Indonesia,who has its own political legislature and governor,each province,,easy,S08_set2_a10,
1189,Uruguay,can citizens propose changes to the constitution,yes,easy,medium,S08_set2_a9,
1190,,does the world conservation union consider the cougar a least concern species,the world conservation union iucn currently lists the cougar as a least concern species,easy,easy,S10_set1_a2,Cougar
1191,duck,what does the word duck mean,to bend down low as if to get under something,hard,hard,S08_set1_a10,
1192,,why does arabic heavily influence european languages,arabic was a major vehicle of culture in europe and the arab and european civilizations are geographically close,hard,hard,S10_set5_a3,Arabic_language
1193,,did albert einstein keep a photograph of faraday on his study wall,yes,easy,easy,S10_set4_a7,Michael_Faraday
1194,Gray_Wolf,why is it beneficial for alpha males and females to forcefully prevent other wolves from mating,the pack tension rises as each mature wolf feels urged to mate,hard,too hard,S08_set1_a6,
1195,Liechtenstein,how many municipalities is liechtenstein divided into,11,medium,medium,S08_set2_a1,
1196,,does the koala fill the same ecological role as the sloth of south america,the koala fills the same ecological role as the sloth of south america,,easy,S10_set1_a3,Koala
1197,,where is the james watt memorial college,the james watt memorial  is in greenock,medium,medium,S10_set4_a2,James_Watt
1198,,is there a more industrialized region in malaysia,no,hard,medium,S10_set3_a3,Kuala_Lumpur
1199,,what is a violin called informally,a fiddle,medium,hard,S10_set2_a2,Violin
1200,Ghana,does ghana have twice the per capita output of the poorer countries in west africa,yes,easy,easy,S08_set2_a5,
1201,beetle,do carrion beetles eat dung,no,hard,hard,S08_set1_a8,
1202,turtle,what are deposited in holes dug into mud or sand,eggs,,easy,S08_set1_a9,
1203,,copenhagen is ranked number one worldwide for which things,most livable city in the world,hard,too hard,S09_set3_a8,Copenhagen
1204,elephant,is an asian elephant smaller than an african elephant,yes,hard,hard,S08_set1_a5,
1205,kangaroo,is the kangaroo an herbivour,yes,easy,medium,S08_set1_a1,
1206,beetle,is the study of beetles called coleopterology  and its practitioners are coleopterists,yes,,medium,S08_set1_a8,
1207,,whose ideas inspired charlesaugustin de coulombs experiments on the resistance of masonries,pieter van musschenbroek,medium,medium,S10_set4_a6,Charles-Augustin_de_Coulomb
1208,,who was the sponsor and mentor of faraday,john mad jack fuller,medium,medium,S09_set4_a7,Michael_Faraday
1209,,is it true that japanese borrowed a considerable number of words,yes,,easy,S09_set5_a6,Japanese_language
1210,,as of august 1st 2006 how many trains stop daily at the beijing railway station or the beijing west railway station,167,hard,medium,S09_set3_a7,Beijing
1211,,was isaac newton british,yes,easy,medium,S10_set4_a1,Isaac_Newton
1212,,where is the mouth of an octopus,the octopus mouth is at the center point of the arms,medium,easy,S10_set1_a10,Octopus
1213,Uruguay,who heavily influenced the architecture and culture of montevideo,european immigrants,medium,hard,S08_set2_a9,
1214,,wasnt leonardo da vinci valued as an engineer,no,,medium,S10_set6_a3,Leonardo_da_Vinci
1215,Indonesia,when did islam become the dominant religion in java and sumatra,by the end of the 16th century,medium,medium,S08_set2_a10,
1216,,is it advantageous for a grand pianos metal plate to be quite massive,yes,easy,easy,S10_set2_a1,Piano
1217,,had the drums been used in sri lanka since before christ,yes,hard,too hard,S10_set2_a4,Drum
1218,,is the ant a marsupial,no,,medium,S10_set1_a1,Ant
1219,Henri_Becquerel,is it true that he shared the nobel prize in physics,yes,,easy,S08_set4_a9,
1220,,what is an example of something an octopus learned in a research experiment,in research experiments octopus can be trained to distinguish between different shapes and patterns,hard,hard,S10_set1_a10,Octopus
1221,Abraham_Lincoln,did his mother die of pneumonia,no,easy,easy,S08_set3_a4,
1222,kangaroo,is a kangaroo a reptile,no,easy,easy,S08_set1_a1,
1223,Liechtenstein,is liechtenstein heavily urbanized,no,easy,easy,S08_set2_a1,
1224,,is it true that france signed the european charter for regional languages,yes,,easy,S09_set5_a5,French_language
1225,,was nairobi founded in 1899,yes,easy,easy,S10_set3_a9,Nairobi
1226,,what does the air stream across this hole create,a bernoulli or siphon,hard,medium,S09_set2_a5,Flute
1227,Nikola_Tesla,who was born precisely at midnight during an electrical storm  to a serbian family in the village of smiljan near gospiä  in the lika region of the croatian krajina in military frontier  part of the austrian empire   in the presentday croatia,nikola tesla,,easy,S08_set4_a3,
1228,leopard,how long is a leopards tail,60 to 110cm,medium,medium,S08_set1_a2,
1229,,do all ants build nests,no not all ants build nests,hard,medium,S10_set1_a1,Ant
1230,,what is the name of the largest church in montreal,saint josephs oratory is the largest church in montreal,medium,hard,S10_set3_a7,Montreal
1231,,is he best known for cofounding the cubist movement and for the wide variety of styles embodied in his work,yes,,easy,S10_set6_a1,Pablo_Picasso
1232,Ulysses_S._Grant,what happened in recent years,his reputation as president has improved,,medium,S08_set3_a5,
1233,duck,do all ducks quack,no,easy,medium,S08_set1_a10,
1234,elephant,when do african elephants lie down,when they are sick or wounded,medium,medium,S08_set1_a5,
1235,,are books magazines and newspapers written in english available,yes,,easy,S09_set5_a1,English_language
1236,Qatar,what is the arabic word for municipalities,baladiyah,hard,hard,S08_set2_a3,
1237,,what do leptocephali eat,marine snow,hard,hard,S10_set1_a8,Eel
1238,Abraham_Lincoln,why did lincoln issue the emancipation proclamation,the goal was to weaken the rebellion which was led and controlled by slave owners,hard,hard,S08_set3_a4,
1239,,does the gendarmenmarkt border the french cathedral,yes the gendarmenmarkt borders the french cathedral,easy,medium,S10_set3_a1,Berlin
1240,,did alessandro volta die and retire in the same place,yes,hard,hard,S10_set4_a10,Alessandro_Volta
1241,,what airports does kuala lumpur have,kuala lumpur international airport and subang international airport,medium,medium,S10_set3_a3,Kuala_Lumpur
1242,Ulysses_S._Grant,what was grants political affiliation,republican,medium,hard,S08_set3_a5,
1243,Romania,is romania lrb  rrb a country in southeastern europe,yes,,easy,S08_set2_a7,
1244,James_Watt,was watt a gentleman greatly respected by other prominent men of the industrial revolution,yes,,easy,S08_set4_a2,
1245,,does the diet of foxes include reptiles,yes,easy,easy,S09_set1_a6,Fox
1246,,what is the population of copenhagen,1161063,easy,medium,S09_set3_a8,Copenhagen
1247,,how are westernstyle xylophones characterised,by a bright sharp tone and high register,medium,medium,S09_set2_a8,Xylophone
1248,John_Adams,when did john adams serve as vice president,17891797,medium,medium,S08_set3_a1,
1249,,is modern korean written in columns or rows,it is written in rows,medium,hard,S10_set5_a6,Korean_language
1250,Ghana,where is old ghana in relation to present ghana,500 miles north of the present ghana and occupied the area between rivers senegal and niger,medium,medium,S08_set2_a5,
1251,,is lima the capital of peru,yes,easy,easy,S09_set3_a4,Lima
1252,,interaction with what man stirred up newtons interest in alchemy,the contact with the theosophist henry more revived his interest in alchemy,hard,medium,S09_set4_a1,Isaac_Newton
1253,,give an example of the largest stadiums anywhere in the world and the home to fc zenit st petersburg in 19501993 and 1995,kirov stadium now demolished was one of the largest stadiums anywhere in the world and the home to fc zenit st petersburg in 19501993 and 1995,,medium,S10_set3_a10,Saint_Petersburg
1254,Woodrow_Wilson,where was woodrow wilson born,staunton virginia,medium,medium,S08_set3_a8,
1255,,where is there a newton statue on display,oxford university museum of natural history,medium,medium,S10_set4_a1,Isaac_Newton
1256,,what are cymbals made of,brass,hard,medium,S10_set2_a6,Cymbal
1257,,did the moche people worship lobsters,yes,hard,easy,S10_set1_a5,Lobster
1258,,when did the first educational works appear for the cello,the 18th century,hard,hard,S09_set2_a9,Cello
1259,,is volta buried in the city of pittsburgh,no,easy,easy,S09_set4_a10,Alessandro_Volta
1260,James_Monroe,what did james monroe do before being elected governor,he practiced law in virginia,hard,medium,S08_set3_a2,
1261,elephant,is the asian elephant larger than the african,sometimes,easy,too hard,S08_set1_a5,
1262,elephant,how many living species of asian elephants are there,one,hard,medium,S08_set1_a5,
1263,,who laid out a street plan for the expanded s10_settlement,william richardson and alcalde francisco de haro,,medium,S10_set3_a8,San_Francisco
1264,,is schloss charlottenburg the largest existing palace in berlin,schloss charlottenburg is the largest existing palace in berlin,easy,easy,S10_set3_a1,Berlin
1265,Millard_Fillmore,what is the remarkable millard fillmore,a fake biography based on real events that happened in fillmores life,medium,medium,S08_set3_a3,
1266,,how many years ago was it when he discovered that the optical properties of gold colloids differed from those of the corresponding bulk metal,162,,hard,S09_set4_a7,Michael_Faraday
1267,Millard_Fillmore,how did fillmore ascend to the presidency,official white house portrait of millard fillmorefillmore ascended to the presidency upon the sudden and unexpected death of president taylor in july 1850,hard,hard,S08_set3_a3,
1268,,how are new words formed in malay,three methods,hard,too hard,S10_set5_a2,Malay_language
1269,,who showed that avogadros theory held in dilute solutions,jacobus henricus van hoff,medium,medium,S10_set4_a8,Amedeo_Avogadro
1270,,is the flamenco guitar similar to the classical guitar,yes,easy,hard,S10_set2_a7,Guitar
1271,,why may english translation of koreans adjectives misleadingly suggest that they are verbs,english does not have an identical grammatical category,hard,too hard,S10_set5_a6,Korean_language
1272,,does the production of chemical weapons raise an ethical issue,yes,hard,easy,S09_set4_a7,Michael_Faraday
1273,,did charlesaugustin de coulomb find any relationship between electric charges and magnetic poles,no,easy,hard,S09_set4_a6,Charles-Augustin_de_Coulomb
